,unique_id,time_bin,crime_count,hotspot,predicted
953,8634,2017-04-12,0.0,0,0
954,8634,2017-04-26,0.0,0,0
955,8634,2017-05-10,0.0,0,0
956,8634,2017-05-24,0.0,0,0
983,8635,2017-03-01,0.0,0,0
984,8635,2017-03-15,0.0,0,0
985,8635,2017-03-29,0.0,0,0
986,8635,2017-04-12,0.0,0,0
987,8635,2017-04-26,0.0,0,0
988,8635,2017-05-10,0.0,0,0
989,8635,2017-05-24,0.0,0,0
1016,8830,2017-03-01,2.0,0,0
1017,8830,2017-03-15,0.0,0,0
1018,8830,2017-03-29,0.0,0,0
1019,8830,2017-04-12,0.0,0,0
1020,8830,2017-04-26,0.0,0,0
1021,8830,2017-05-10,0.0,0,0
1022,8830,2017-05-24,0.0,0,0
1049,8843,2017-03-01,0.0,0,0
1050,8843,2017-03-15,0.0,0,0
1051,8843,2017-03-29,1.0,0,0
1052,8843,2017-04-12,0.0,0,0
1053,8843,2017-04-26,0.0,0,0
1054,8843,2017-05-10,0.0,0,0
1055,8843,2017-05-24,0.0,0,0
1082,8846,2017-03-01,0.0,0,0
1083,8846,2017-03-15,0.0,0,0
1084,8846,2017-03-29,0.0,0,0
1085,8846,2017-04-12,0.0,0,0
1086,8846,2017-04-26,0.0,0,0
1087,8846,2017-05-10,0.0,0,0
1088,8846,2017-05-24,0.0,0,0
1115,8849,2017-03-01,0.0,0,0
1116,8849,2017-03-15,0.0,0,0
1117,8849,2017-03-29,0.0,0,0
1118,8849,2017-04-12,0.0,0,0
1119,8849,2017-04-26,0.0,0,0
1120,8849,2017-05-10,0.0,0,0
1121,8849,2017-05-24,0.0,0,0
1148,8937,2017-03-01,0.0,0,0
1149,8937,2017-03-15,0.0,0,0
1150,8937,2017-03-29,1.0,0,0
1151,8937,2017-04-12,0.0,0,0
1152,8937,2017-04-26,0.0,0,0
1153,8937,2017-05-10,0.0,0,0
1154,8937,2017-05-24,0.0,0,0
1181,9080,2017-03-01,1.0,0,0
1182,9080,2017-03-15,0.0,0,0
1183,9080,2017-03-29,1.0,0,0
1184,9080,2017-04-12,0.0,0,0
1185,9080,2017-04-26,0.0,0,0
1186,9080,2017-05-10,0.0,0,0
1187,9080,2017-05-24,0.0,0,0
1214,9084,2017-03-01,0.0,0,0
1215,9084,2017-03-15,0.0,0,0
1216,9084,2017-03-29,0.0,0,0
1217,9084,2017-04-12,0.0,0,0
1218,9084,2017-04-26,0.0,0,0
1219,9084,2017-05-10,0.0,0,0
1220,9084,2017-05-24,0.0,0,0
1247,9095,2017-03-01,0.0,0,0
1248,9095,2017-03-15,0.0,0,0
1249,9095,2017-03-29,2.0,0,0
1250,9095,2017-04-12,1.0,0,0
1251,9095,2017-04-26,0.0,0,0
1252,9095,2017-05-10,0.0,0,0
1253,9095,2017-05-24,0.0,0,0
1280,9185,2017-03-01,0.0,0,0
1281,9185,2017-03-15,0.0,0,0
1282,9185,2017-03-29,0.0,0,0
1283,9185,2017-04-12,0.0,0,0
1284,9185,2017-04-26,0.0,0,0
1285,9185,2017-05-10,0.0,0,0
1286,9185,2017-05-24,0.0,0,0
1313,9334,2017-03-01,0.0,0,1
1314,9334,2017-03-15,0.0,0,0
1315,9334,2017-03-29,0.0,0,0
1316,9334,2017-04-12,0.0,0,0
1317,9334,2017-04-26,1.0,0,0
1318,9334,2017-05-10,0.0,0,0
1319,9334,2017-05-24,0.0,0,0
1346,9594,2017-03-01,0.0,0,0
1347,9594,2017-03-15,0.0,0,0
1348,9594,2017-03-29,2.0,0,0
1349,9594,2017-04-12,3.0,1,0
1350,9594,2017-04-26,3.0,1,1
1351,9594,2017-05-10,3.0,1,1
1352,9594,2017-05-24,0.0,0,1
1379,9603,2017-03-01,0.0,0,0
1380,9603,2017-03-15,0.0,0,0
1381,9603,2017-03-29,0.0,0,0
1382,9603,2017-04-12,0.0,0,0
1383,9603,2017-04-26,0.0,0,0
1384,9603,2017-05-10,0.0,0,0
1385,9603,2017-05-24,0.0,0,0
1412,9607,2017-03-01,0.0,0,0
1413,9607,2017-03-15,0.0,0,0
1414,9607,2017-03-29,1.0,0,0
1415,9607,2017-04-12,0.0,0,0
1416,9607,2017-04-26,0.0,0,0
1417,9607,2017-05-10,0.0,0,0
1418,9607,2017-05-24,0.0,0,0
1445,9870,2017-03-01,0.0,0,0
1446,9870,2017-03-15,0.0,0,0
1447,9870,2017-03-29,1.0,0,0
1448,9870,2017-04-12,0.0,0,0
1449,9870,2017-04-26,0.0,0,0
1450,9870,2017-05-10,0.0,0,0
1451,9870,2017-05-24,0.0,0,0
1478,10141,2017-03-01,0.0,0,0
1479,10141,2017-03-15,0.0,0,0
1480,10141,2017-03-29,0.0,0,0
1481,10141,2017-04-12,0.0,0,0
1482,10141,2017-04-26,0.0,0,0
1483,10141,2017-05-10,0.0,0,0
1484,10141,2017-05-24,0.0,0,0
1511,10657,2017-03-01,0.0,0,0
1512,10657,2017-03-15,0.0,0,0
1513,10657,2017-03-29,0.0,0,0
1514,10657,2017-04-12,0.0,0,0
1515,10657,2017-04-26,0.0,0,0
1516,10657,2017-05-10,0.0,0,0
1517,10657,2017-05-24,0.0,0,0
1544,11196,2017-03-01,0.0,0,0
1545,11196,2017-03-15,0.0,0,0
1546,11196,2017-03-29,0.0,0,0
1547,11196,2017-04-12,1.0,0,0
1548,11196,2017-04-26,0.0,0,0
1549,11196,2017-05-10,0.0,0,0
1550,11196,2017-05-24,0.0,0,0
1577,11464,2017-03-01,0.0,0,0
1578,11464,2017-03-15,0.0,0,0
1579,11464,2017-03-29,1.0,0,0
1580,11464,2017-04-12,0.0,0,0
1581,11464,2017-04-26,0.0,0,0
1582,11464,2017-05-10,0.0,0,0
1583,11464,2017-05-24,0.0,0,0
1610,11727,2017-03-01,0.0,0,0
1611,11727,2017-03-15,1.0,0,0
1612,11727,2017-03-29,0.0,0,0
1613,11727,2017-04-12,1.0,0,0
1614,11727,2017-04-26,0.0,0,0
1615,11727,2017-05-10,1.0,0,0
1616,11727,2017-05-24,0.0,0,0
1643,11743,2017-03-01,0.0,0,0
1644,11743,2017-03-15,0.0,0,0
1645,11743,2017-03-29,0.0,0,0
1646,11743,2017-04-12,0.0,0,0
1647,11743,2017-04-26,0.0,0,0
1648,11743,2017-05-10,0.0,0,0
1649,11743,2017-05-24,0.0,0,0
1676,11996,2017-03-01,0.0,0,0
1677,11996,2017-03-15,0.0,0,0
1678,11996,2017-03-29,0.0,0,0
1679,11996,2017-04-12,0.0,0,0
1680,11996,2017-04-26,0.0,0,0
1681,11996,2017-05-10,0.0,0,0
1682,11996,2017-05-24,0.0,0,0
1709,12079,2017-03-01,0.0,0,0
1710,12079,2017-03-15,0.0,0,0
1711,12079,2017-03-29,0.0,0,0
1712,12079,2017-04-12,0.0,0,0
1713,12079,2017-04-26,0.0,0,0
1714,12079,2017-05-10,0.0,0,0
1715,12079,2017-05-24,0.0,0,0
1742,12279,2017-03-01,0.0,0,0
1743,12279,2017-03-15,0.0,0,0
1744,12279,2017-03-29,0.0,0,0
1745,12279,2017-04-12,0.0,0,0
1746,12279,2017-04-26,0.0,0,0
1747,12279,2017-05-10,0.0,0,0
1748,12279,2017-05-24,0.0,0,0
1775,12534,2017-03-01,1.0,0,0
1776,12534,2017-03-15,0.0,0,0
1777,12534,2017-03-29,0.0,0,0
1778,12534,2017-04-12,0.0,0,0
1779,12534,2017-04-26,0.0,0,0
1780,12534,2017-05-10,0.0,0,0
1781,12534,2017-05-24,0.0,0,0
1808,12545,2017-03-01,0.0,0,0
1809,12545,2017-03-15,0.0,0,0
1810,12545,2017-03-29,1.0,0,0
1811,12545,2017-04-12,1.0,0,0
1812,12545,2017-04-26,1.0,0,0
1813,12545,2017-05-10,1.0,0,0
1814,12545,2017-05-24,0.0,0,0
1841,12910,2017-03-01,0.0,0,0
1842,12910,2017-03-15,0.0,0,0
1843,12910,2017-03-29,1.0,0,0
1844,12910,2017-04-12,0.0,0,0
1845,12910,2017-04-26,0.0,0,0
1846,12910,2017-05-10,1.0,0,0
1847,12910,2017-05-24,0.0,0,0
1874,13097,2017-03-01,3.0,1,0
1875,13097,2017-03-15,0.0,0,1
1876,13097,2017-03-29,1.0,0,1
1877,13097,2017-04-12,2.0,0,1
1878,13097,2017-04-26,0.0,0,1
1879,13097,2017-05-10,0.0,0,1
1880,13097,2017-05-24,2.0,0,1
1907,13098,2017-03-01,0.0,0,0
1908,13098,2017-03-15,0.0,0,0
1909,13098,2017-03-29,0.0,0,0
1910,13098,2017-04-12,0.0,0,0
1911,13098,2017-04-26,0.0,0,0
1912,13098,2017-05-10,0.0,0,0
1913,13098,2017-05-24,0.0,0,0
1940,13353,2017-03-01,1.0,0,0
1941,13353,2017-03-15,0.0,0,0
1942,13353,2017-03-29,1.0,0,0
1943,13353,2017-04-12,0.0,0,0
1944,13353,2017-04-26,1.0,0,0
1945,13353,2017-05-10,1.0,0,0
1946,13353,2017-05-24,0.0,0,0
1973,13355,2017-03-01,0.0,0,0
1974,13355,2017-03-15,0.0,0,0
1975,13355,2017-03-29,0.0,0,0
1976,13355,2017-04-12,0.0,0,0
1977,13355,2017-04-26,0.0,0,0
1978,13355,2017-05-10,0.0,0,0
1979,13355,2017-05-24,0.0,0,0
2006,13364,2017-03-01,0.0,0,1
2007,13364,2017-03-15,0.0,0,0
2008,13364,2017-03-29,0.0,0,0
2009,13364,2017-04-12,0.0,0,0
2010,13364,2017-04-26,1.0,0,0
2011,13364,2017-05-10,0.0,0,0
2012,13364,2017-05-24,0.0,0,0
2039,13435,2017-03-01,2.0,0,0
2040,13435,2017-03-15,0.0,0,0
2041,13435,2017-03-29,0.0,0,0
2042,13435,2017-04-12,0.0,0,0
2043,13435,2017-04-26,0.0,0,0
2044,13435,2017-05-10,0.0,0,0
2045,13435,2017-05-24,0.0,0,0
2072,13465,2017-03-01,0.0,0,0
2073,13465,2017-03-15,0.0,0,0
2074,13465,2017-03-29,0.0,0,0
2075,13465,2017-04-12,0.0,0,0
2076,13465,2017-04-26,0.0,0,0
2077,13465,2017-05-10,0.0,0,0
2078,13465,2017-05-24,0.0,0,0
2105,13615,2017-03-01,0.0,0,0
2106,13615,2017-03-15,0.0,0,0
2107,13615,2017-03-29,0.0,0,0
2108,13615,2017-04-12,0.0,0,0
2109,13615,2017-04-26,1.0,0,0
2110,13615,2017-05-10,0.0,0,0
2111,13615,2017-05-24,0.0,0,0
2138,13622,2017-03-01,0.0,0,0
2139,13622,2017-03-15,0.0,0,0
2140,13622,2017-03-29,0.0,0,0
2141,13622,2017-04-12,0.0,0,0
2142,13622,2017-04-26,0.0,0,0
2143,13622,2017-05-10,0.0,0,0
2144,13622,2017-05-24,0.0,0,0
2171,13689,2017-03-01,0.0,0,0
2172,13689,2017-03-15,0.0,0,0
2173,13689,2017-03-29,0.0,0,0
2174,13689,2017-04-12,0.0,0,0
2175,13689,2017-04-26,0.0,0,0
2176,13689,2017-05-10,0.0,0,0
2177,13689,2017-05-24,0.0,0,0
2204,13773,2017-03-01,0.0,0,0
2205,13773,2017-03-15,0.0,0,0
2206,13773,2017-03-29,0.0,0,0
2207,13773,2017-04-12,0.0,0,0
2208,13773,2017-04-26,0.0,0,0
2209,13773,2017-05-10,0.0,0,0
2210,13773,2017-05-24,0.0,0,0
2237,13952,2017-03-01,0.0,0,0
2238,13952,2017-03-15,0.0,0,0
2239,13952,2017-03-29,0.0,0,0
2240,13952,2017-04-12,0.0,0,0
2241,13952,2017-04-26,0.0,0,0
2242,13952,2017-05-10,0.0,0,0
2243,13952,2017-05-24,1.0,0,0
2270,13954,2017-03-01,0.0,0,0
2271,13954,2017-03-15,1.0,0,0
2272,13954,2017-03-29,0.0,0,0
2273,13954,2017-04-12,0.0,0,0
2274,13954,2017-04-26,0.0,0,0
2275,13954,2017-05-10,0.0,0,0
2276,13954,2017-05-24,1.0,0,0
2303,14139,2017-03-01,0.0,0,0
2304,14139,2017-03-15,0.0,0,0
2305,14139,2017-03-29,0.0,0,0
2306,14139,2017-04-12,0.0,0,0
2307,14139,2017-04-26,0.0,0,0
2308,14139,2017-05-10,0.0,0,0
2309,14139,2017-05-24,0.0,0,0
2336,14141,2017-03-01,1.0,0,0
2337,14141,2017-03-15,0.0,0,0
2338,14141,2017-03-29,0.0,0,0
2339,14141,2017-04-12,0.0,0,0
2340,14141,2017-04-26,0.0,0,0
2341,14141,2017-05-10,0.0,0,0
2342,14141,2017-05-24,0.0,0,0
2369,14149,2017-03-01,0.0,0,0
2370,14149,2017-03-15,0.0,0,0
2371,14149,2017-03-29,0.0,0,0
2372,14149,2017-04-12,0.0,0,0
2373,14149,2017-04-26,0.0,0,0
2374,14149,2017-05-10,0.0,0,0
2375,14149,2017-05-24,0.0,0,0
2402,14153,2017-03-01,0.0,0,0
2403,14153,2017-03-15,1.0,0,0
2404,14153,2017-03-29,1.0,0,0
2405,14153,2017-04-12,0.0,0,0
2406,14153,2017-04-26,0.0,0,0
2407,14153,2017-05-10,0.0,0,0
2408,14153,2017-05-24,0.0,0,0
2435,14406,2017-03-01,0.0,0,0
2436,14406,2017-03-15,0.0,0,0
2437,14406,2017-03-29,0.0,0,0
2438,14406,2017-04-12,0.0,0,0
2439,14406,2017-04-26,0.0,0,0
2440,14406,2017-05-10,0.0,0,0
2441,14406,2017-05-24,0.0,0,0
2468,14486,2017-03-01,1.0,0,0
2469,14486,2017-03-15,0.0,0,0
2470,14486,2017-03-29,1.0,0,0
2471,14486,2017-04-12,0.0,0,0
2472,14486,2017-04-26,1.0,0,0
2473,14486,2017-05-10,0.0,0,0
2474,14486,2017-05-24,0.0,0,0
2501,14502,2017-03-01,0.0,0,0
2502,14502,2017-03-15,0.0,0,0
2503,14502,2017-03-29,0.0,0,0
2504,14502,2017-04-12,0.0,0,0
2505,14502,2017-04-26,0.0,0,0
2506,14502,2017-05-10,0.0,0,0
2507,14502,2017-05-24,0.0,0,0
2534,14940,2017-03-01,0.0,0,0
2535,14940,2017-03-15,0.0,0,0
2536,14940,2017-03-29,0.0,0,0
2537,14940,2017-04-12,0.0,0,0
2538,14940,2017-04-26,0.0,0,0
2539,14940,2017-05-10,0.0,0,0
2540,14940,2017-05-24,0.0,0,0
2567,14951,2017-03-01,0.0,0,0
2568,14951,2017-03-15,0.0,0,0
2569,14951,2017-03-29,0.0,0,0
2570,14951,2017-04-12,0.0,0,0
2571,14951,2017-04-26,0.0,0,0
2572,14951,2017-05-10,0.0,0,0
2573,14951,2017-05-24,0.0,0,0
2600,15149,2017-03-01,0.0,0,0
2601,15149,2017-03-15,0.0,0,0
2602,15149,2017-03-29,0.0,0,0
2603,15149,2017-04-12,0.0,0,0
2604,15149,2017-04-26,0.0,0,0
2605,15149,2017-05-10,0.0,0,0
2606,15149,2017-05-24,1.0,0,0
2633,15221,2017-03-01,0.0,0,0
2634,15221,2017-03-15,0.0,0,0
2635,15221,2017-03-29,1.0,0,0
2636,15221,2017-04-12,1.0,0,0
2637,15221,2017-04-26,0.0,0,0
2638,15221,2017-05-10,0.0,0,0
2639,15221,2017-05-24,0.0,0,0
2666,15322,2017-03-01,0.0,0,0
2667,15322,2017-03-15,1.0,0,0
2668,15322,2017-03-29,0.0,0,0
2669,15322,2017-04-12,0.0,0,0
2670,15322,2017-04-26,1.0,0,0
2671,15322,2017-05-10,1.0,0,0
2672,15322,2017-05-24,0.0,0,0
2699,15477,2017-03-01,0.0,0,0
2700,15477,2017-03-15,0.0,0,0
2701,15477,2017-03-29,1.0,0,0
2702,15477,2017-04-12,1.0,0,0
2703,15477,2017-04-26,0.0,0,0
2704,15477,2017-05-10,0.0,0,0
2705,15477,2017-05-24,0.0,0,0
2732,15492,2017-03-01,0.0,0,0
2733,15492,2017-03-15,1.0,0,0
2734,15492,2017-03-29,0.0,0,0
2735,15492,2017-04-12,0.0,0,0
2736,15492,2017-04-26,0.0,0,0
2737,15492,2017-05-10,0.0,0,0
2738,15492,2017-05-24,0.0,0,0
2765,15580,2017-03-01,0.0,0,0
2766,15580,2017-03-15,0.0,0,0
2767,15580,2017-03-29,0.0,0,0
2768,15580,2017-04-12,0.0,0,0
2769,15580,2017-04-26,0.0,0,0
2770,15580,2017-05-10,0.0,0,0
2771,15580,2017-05-24,0.0,0,0
2798,15742,2017-03-01,0.0,0,0
2799,15742,2017-03-15,1.0,0,0
2800,15742,2017-03-29,0.0,0,0
2801,15742,2017-04-12,1.0,0,0
2802,15742,2017-04-26,0.0,0,0
2803,15742,2017-05-10,0.0,0,0
2804,15742,2017-05-24,0.0,0,0
2831,15743,2017-03-01,0.0,0,0
2832,15743,2017-03-15,0.0,0,0
2833,15743,2017-03-29,0.0,0,0
2834,15743,2017-04-12,0.0,0,0
2835,15743,2017-04-26,0.0,0,0
2836,15743,2017-05-10,0.0,0,0
2837,15743,2017-05-24,0.0,0,0
2864,15744,2017-03-01,0.0,0,0
2865,15744,2017-03-15,0.0,0,0
2866,15744,2017-03-29,0.0,0,0
2867,15744,2017-04-12,0.0,0,0
2868,15744,2017-04-26,1.0,0,0
2869,15744,2017-05-10,0.0,0,0
2870,15744,2017-05-24,0.0,0,0
2897,16015,2017-03-01,0.0,0,0
2898,16015,2017-03-15,0.0,0,0
2899,16015,2017-03-29,1.0,0,0
2900,16015,2017-04-12,0.0,0,0
2901,16015,2017-04-26,0.0,0,0
2902,16015,2017-05-10,1.0,0,0
2903,16015,2017-05-24,1.0,0,0
2930,16030,2017-03-01,0.0,0,0
2931,16030,2017-03-15,0.0,0,0
2932,16030,2017-03-29,0.0,0,0
2933,16030,2017-04-12,0.0,0,0
2934,16030,2017-04-26,0.0,0,0
2935,16030,2017-05-10,0.0,0,0
2936,16030,2017-05-24,0.0,0,0
2963,16288,2017-03-01,0.0,0,0
2964,16288,2017-03-15,0.0,0,0
2965,16288,2017-03-29,0.0,0,0
2966,16288,2017-04-12,0.0,0,0
2967,16288,2017-04-26,0.0,0,0
2968,16288,2017-05-10,0.0,0,0
2969,16288,2017-05-24,0.0,0,0
2996,16818,2017-03-01,0.0,0,0
2997,16818,2017-03-15,0.0,0,0
2998,16818,2017-03-29,0.0,0,0
2999,16818,2017-04-12,0.0,0,0
3000,16818,2017-04-26,0.0,0,0
3001,16818,2017-05-10,0.0,0,0
3002,16818,2017-05-24,0.0,0,0
3029,16825,2017-03-01,0.0,0,0
3030,16825,2017-03-15,0.0,0,0
3031,16825,2017-03-29,0.0,0,0
3032,16825,2017-04-12,2.0,0,0
3033,16825,2017-04-26,0.0,0,0
3034,16825,2017-05-10,0.0,0,0
3035,16825,2017-05-24,0.0,0,0
3062,17112,2017-03-01,0.0,0,0
3063,17112,2017-03-15,0.0,0,0
3064,17112,2017-03-29,0.0,0,0
3065,17112,2017-04-12,0.0,0,0
3066,17112,2017-04-26,0.0,0,0
3067,17112,2017-05-10,0.0,0,0
3068,17112,2017-05-24,0.0,0,0
3095,17115,2017-03-01,0.0,0,0
3096,17115,2017-03-15,0.0,0,0
3097,17115,2017-03-29,0.0,0,0
3098,17115,2017-04-12,0.0,0,0
3099,17115,2017-04-26,0.0,0,0
3100,17115,2017-05-10,1.0,0,0
3101,17115,2017-05-24,0.0,0,0
3128,17382,2017-03-01,0.0,0,0
3129,17382,2017-03-15,0.0,0,0
3130,17382,2017-03-29,0.0,0,0
3131,17382,2017-04-12,0.0,0,0
3132,17382,2017-04-26,0.0,0,0
3133,17382,2017-05-10,1.0,0,0
3134,17382,2017-05-24,0.0,0,0
3161,17656,2017-03-01,0.0,0,0
3162,17656,2017-03-15,0.0,0,0
3163,17656,2017-03-29,1.0,0,0
3164,17656,2017-04-12,0.0,0,0
3165,17656,2017-04-26,0.0,0,0
3166,17656,2017-05-10,0.0,0,0
3167,17656,2017-05-24,0.0,0,0
3194,17662,2017-03-01,0.0,0,0
3195,17662,2017-03-15,0.0,0,0
