,unique_id,x_index,y_index,time_bin,crime_count,neighbourhood_crime_count,hotspot
2345,9502,118,75,2012-03-01,0.0,10.0,0
2352,7165,89,50,2012-03-01,0.0,9.0,0
2372,4127,59,58,2012-03-01,0.0,48.0,0
2375,4236,60,55,2012-03-01,4.0,69.0,0
2384,4126,59,57,2012-03-01,4.0,48.0,0
2391,4982,66,110,2012-03-01,1.0,5.0,0
2416,4128,59,59,2012-03-01,0.0,43.0,0
2429,4979,66,107,2012-03-01,0.0,5.0,0
2439,11119,138,49,2012-03-01,0.0,30.0,0
2448,7176,89,61,2012-03-01,2.0,14.0,0
2476,8806,110,35,2012-03-01,0.0,31.0,0
2503,10554,131,37,2012-03-01,1.0,48.0,0
2509,9485,118,58,2012-03-01,1.0,28.0,0
2523,8799,110,28,2012-03-01,0.0,35.0,0
2536,2801,47,97,2012-03-01,1.0,23.0,0
2538,9623,120,30,2012-03-01,0.0,30.0,0
2553,10555,131,38,2012-03-01,1.0,48.0,0
2562,7177,89,62,2012-03-01,0.0,14.0,0
2585,7520,93,77,2012-03-01,0.0,14.0,0
2590,6066,77,52,2012-03-01,0.0,29.0,0
2598,8811,110,40,2012-03-01,1.0,24.0,0
2631,10669,132,72,2012-03-01,1.0,11.0,0
2648,8808,110,37,2012-03-01,0.0,25.0,0
2684,11120,138,50,2012-03-01,0.0,32.0,0
2686,2795,47,91,2012-03-01,1.0,20.0,0
2701,10562,131,45,2012-03-01,1.0,38.0,0
2718,11686,146,34,2012-03-01,2.0,9.0,0
2727,4922,66,50,2012-03-01,0.0,107.0,0
2729,7897,98,56,2012-03-01,4.0,12.0,0
2735,4923,66,51,2012-03-01,4.0,123.0,0
2753,2687,46,97,2012-03-01,0.0,26.0,0
2781,11693,146,41,2012-03-01,3.0,18.0,0
2827,4921,66,49,2012-03-01,0.0,80.0,0
2848,4927,66,55,2012-03-01,2.0,130.0,0
2880,4929,66,57,2012-03-01,0.0,114.0,0
2893,4928,66,56,2012-03-01,1.0,126.0,0
2901,10638,132,41,2012-03-01,1.0,43.0,0
2911,4925,66,53,2012-03-01,4.0,129.0,0
2912,8881,111,28,2012-03-01,2.0,35.0,0
2913,10634,132,37,2012-03-01,2.0,42.0,0
2933,4924,66,52,2012-03-01,3.0,130.0,0
2948,4926,66,54,2012-03-01,3.0,132.0,0
2967,10635,132,38,2012-03-01,3.0,43.0,0
2995,4149,59,80,2012-03-01,0.0,8.0,0
3035,4959,66,87,2012-03-01,2.0,18.0,0
3040,7163,89,48,2012-03-01,0.0,12.0,0
3090,7915,98,74,2012-03-01,0.0,23.0,0
3093,8894,111,41,2012-03-01,0.0,20.0,0
3160,10649,132,52,2012-03-01,0.0,15.0,0
3222,8842,110,71,2012-03-01,0.0,25.0,0
3260,4013,58,55,2012-03-01,1.0,39.0,0
3286,11197,139,52,2012-03-01,1.0,31.0,0
3292,10723,133,46,2012-03-01,0.0,24.0,0
3324,8956,112,20,2012-03-01,2.0,17.0,0
3370,5993,76,77,2012-03-01,1.0,39.0,0
3375,2911,48,91,2012-03-01,1.0,23.0,0
3426,7991,99,73,2012-03-01,0.0,21.0,0
3428,9461,118,34,2012-03-01,2.0,22.0,0
3447,6182,78,71,2012-03-01,0.0,28.0,0
3479,4017,58,59,2012-03-01,0.0,31.0,0
3489,4843,65,87,2012-03-01,2.0,21.0,0
3493,8749,109,56,2012-03-01,1.0,21.0,0
3570,4831,65,75,2012-03-01,0.0,23.0,0
3572,8728,109,35,2012-03-01,1.0,31.0,0
3593,10473,130,37,2012-03-01,1.0,44.0,0
3597,5975,76,59,2012-03-01,2.0,34.0,0
3634,5977,76,61,2012-03-01,1.0,29.0,0
3656,4835,65,79,2012-03-01,2.0,28.0,0
3676,5987,76,71,2012-03-01,0.0,36.0,0
3687,10727,133,50,2012-03-01,0.0,20.0,0
3725,11107,138,37,2012-03-01,0.0,34.0,0
3778,4833,65,77,2012-03-01,1.0,25.0,0
3793,5040,67,53,2012-03-01,3.0,122.0,0
3799,5041,67,54,2012-03-01,6.0,123.0,1
3815,5042,67,55,2012-03-01,3.0,121.0,0
3828,5038,67,51,2012-03-01,3.0,117.0,0
3834,11186,139,41,2012-03-01,0.0,30.0,0
3846,5039,67,52,2012-03-01,4.0,123.0,0
3855,5044,67,57,2012-03-01,4.0,105.0,0
3871,5045,67,58,2012-03-01,1.0,95.0,0
3883,5046,67,59,2012-03-01,1.0,83.0,0
3902,5043,67,56,2012-03-01,8.0,117.0,1
4023,6048,77,34,2012-03-01,0.0,2.0,0
4034,6049,77,35,2012-03-01,1.0,5.0,0
4061,11735,147,33,2012-03-01,0.0,8.0,0
4069,10508,130,72,2012-03-01,0.0,12.0,0
4091,9652,120,59,2012-03-01,1.0,28.0,0
4102,8761,109,68,2012-03-01,2.0,25.0,0
4109,9653,120,60,2012-03-01,0.0,28.0,0
4138,10718,133,41,2012-03-01,0.0,40.0,0
4150,7990,99,72,2012-03-01,0.0,16.0,0
4153,8754,109,61,2012-03-01,2.0,16.0,0
4241,8768,109,75,2012-03-01,0.0,17.0,0
4256,6172,78,61,2012-03-01,0.0,24.0,0
4264,2568,45,93,2012-03-01,1.0,23.0,0
4270,8763,109,70,2012-03-01,1.0,24.0,0
4288,8762,109,69,2012-03-01,3.0,24.0,0
4305,4273,60,92,2012-03-01,1.0,16.0,0
4306,8765,109,72,2012-03-01,3.0,24.0,0
4316,8764,109,71,2012-03-01,2.0,24.0,0
4326,10828,134,71,2012-03-01,1.0,9.0,0
4333,10223,127,37,2012-03-01,1.0,51.0,0
4345,9259,115,75,2012-03-01,0.0,8.0,0
4355,8494,106,36,2012-03-01,0.0,27.0,0
4358,1448,35,101,2012-03-01,0.0,26.0,0
4371,10137,126,35,2012-03-01,0.0,33.0,0
4374,8250,103,24,2012-03-01,0.0,13.0,0
4386,6340,80,40,2012-03-01,1.0,15.0,0
4468,8331,104,28,2012-03-01,1.0,23.0,0
4475,10227,127,41,2012-03-01,1.0,51.0,0
4523,1371,34,98,2012-03-01,0.0,27.0,0
4599,10143,126,41,2012-03-01,1.0,46.0,0
4611,8258,103,32,2012-03-01,0.0,28.0,0
4616,5675,73,50,2012-03-01,0.0,47.0,0
4647,8412,105,32,2012-03-01,1.0,24.0,0
4650,10219,127,33,2012-03-01,0.0,36.0,0
4654,9257,115,73,2012-03-01,0.0,10.0,0
4674,10139,126,37,2012-03-01,4.0,46.0,0
4684,9093,113,73,2012-03-01,0.0,18.0,0
4700,10987,136,72,2012-03-01,0.0,7.0,0
4721,8488,106,30,2012-03-01,2.0,26.0,0
4722,10140,126,38,2012-03-01,1.0,45.0,0
4735,9967,124,35,2012-03-01,0.0,31.0,0
4745,5773,74,51,2012-03-01,3.0,36.0,0
4746,8227,102,78,2012-03-01,1.0,24.0,0
4765,8226,102,77,2012-03-01,2.0,26.0,0
4766,4691,64,50,2012-03-01,0.0,114.0,0
4775,10877,135,40,2012-03-01,4.0,32.0,0
4785,4468,62,58,2012-03-01,0.0,91.0,0
4842,11034,137,41,2012-03-01,1.0,36.0,0
4856,5776,74,54,2012-03-01,1.0,36.0,0
4878,9920,123,74,2012-03-01,0.0,14.0,0
4883,4693,64,52,2012-03-01,1.0,143.0,0
4899,3262,51,96,2012-03-01,0.0,21.0,0
4900,8399,105,19,2012-03-01,0.0,15.0,0
4903,5400,70,78,2012-03-01,0.0,42.0,0
4913,5774,74,52,2012-03-01,0.0,34.0,0
4914,10054,125,37,2012-03-01,0.0,44.0,0
4921,5399,70,77,2012-03-01,0.0,44.0,0
4926,10055,125,38,2012-03-01,0.0,43.0,0
4932,3261,51,95,2012-03-01,4.0,22.0,0
4937,4692,64,51,2012-03-01,3.0,132.0,0
5007,10228,127,42,2012-03-01,0.0,49.0,0
5012,1370,34,97,2012-03-01,0.0,28.0,0
5031,11348,141,41,2012-03-01,1.0,27.0,0
5032,9212,115,27,2012-03-01,1.0,32.0,0
5042,8406,105,26,2012-03-01,0.0,21.0,0
5060,4688,64,47,2012-03-01,1.0,45.0,0
5102,11430,142,41,2012-03-01,6.0,21.0,1
5116,9211,115,26,2012-03-01,4.0,29.0,0
5121,4687,64,46,2012-03-01,0.0,33.0,0
5175,11439,142,50,2012-03-01,1.0,31.0,0
5183,10155,126,53,2012-03-01,1.0,17.0,0
5235,10156,126,54,2012-03-01,1.0,21.0,0
5237,9236,115,51,2012-03-01,0.0,15.0,0
5267,2096,41,94,2012-03-01,0.0,17.0,0
5272,5686,73,61,2012-03-01,1.0,32.0,0
5307,10154,126,52,2012-03-01,1.0,20.0,0
5377,5697,73,72,2012-03-01,1.0,39.0,0
5406,5696,73,71,2012-03-01,0.0,37.0,0
5407,5695,73,70,2012-03-01,2.0,30.0,0
5426,5694,73,69,2012-03-01,1.0,27.0,0
5439,11441,142,52,2012-03-01,2.0,30.0,0
5474,11440,142,51,2012-03-01,2.0,31.0,0
5492,10157,126,55,2012-03-01,1.0,22.0,0
5493,5701,73,76,2012-03-01,5.0,48.0,1
5499,10908,135,71,2012-03-01,0.0,7.0,0
5506,10006,124,74,2012-03-01,0.0,16.0,0
5567,5679,73,54,2012-03-01,0.0,51.0,0
5661,5719,73,94,2012-03-01,0.0,4.0,0
5665,10953,136,38,2012-03-01,1.0,35.0,0
5690,5676,73,51,2012-03-01,1.0,51.0,0
5732,8479,106,21,2012-03-01,1.0,20.0,0
5744,5677,73,52,2012-03-01,0.0,49.0,0
5770,10902,135,65,2012-03-01,0.0,1.0,0
5804,8304,103,78,2012-03-01,0.0,23.0,0
5820,10152,126,50,2012-03-01,2.0,25.0,0
5823,5491,71,67,2012-03-01,0.0,29.0,0
5850,4617,63,91,2012-03-01,0.0,18.0,0
5853,8303,103,77,2012-03-01,3.0,25.0,0
5854,5684,73,59,2012-03-01,0.0,54.0,0
5870,9983,124,51,2012-03-01,0.0,24.0,0
5874,5485,71,61,2012-03-01,0.0,43.0,0
5887,11357,141,50,2012-03-01,0.0,30.0,0
5898,6349,80,49,2012-03-01,0.0,29.0,0
5900,5484,71,60,2012-03-01,0.0,60.0,0
5917,9243,115,58,2012-03-01,1.0,23.0,0
5931,8458,105,78,2012-03-01,3.0,22.0,0
5956,5486,71,62,2012-03-01,0.0,29.0,0
5976,5590,72,65,2012-03-01,0.0,32.0,0
6000,4585,63,59,2012-03-01,0.0,93.0,0
6047,9906,123,60,2012-03-01,1.0,27.0,0
6051,3486,53,92,2012-03-01,1.0,24.0,0
6083,9071,113,51,2012-03-01,3.0,24.0,0
6096,7079,88,47,2012-03-01,0.0,13.0,0
6104,7339,91,60,2012-03-01,0.0,15.0,0
6126,4574,63,48,2012-03-01,0.0,61.0,0
6131,5588,72,63,2012-03-01,2.0,30.0,0
6135,8381,104,78,2012-03-01,0.0,23.0,0
6137,4580,63,54,2012-03-01,0.0,139.0,0
6152,4699,64,58,2012-03-01,2.0,115.0,0
6159,11508,143,41,2012-03-01,0.0,21.0,0
6163,8186,102,37,2012-03-01,0.0,18.0,0
6169,4460,62,50,2012-03-01,2.0,95.0,0
6216,4573,63,47,2012-03-01,0.0,46.0,0
6218,4577,63,51,2012-03-01,1.0,125.0,0
6229,11515,143,48,2012-03-01,1.0,23.0,0
6234,10296,128,25,2012-03-01,0.0,5.0,0
6265,4459,62,49,2012-03-01,0.0,76.0,0
6306,11513,143,46,2012-03-01,0.0,33.0,0
6328,10068,125,51,2012-03-01,0.0,24.0,0
6335,4578,63,52,2012-03-01,0.0,136.0,0
6343,4576,63,50,2012-03-01,4.0,108.0,0
6355,1637,37,103,2012-03-01,0.0,21.0,0
6389,8554,107,17,2012-03-01,0.0,15.0,0
6417,10069,125,52,2012-03-01,1.0,20.0,0
6454,4575,63,49,2012-03-01,1.0,82.0,0
6456,11514,143,47,2012-03-01,0.0,25.0,0
6464,2338,43,98,2012-03-01,2.0,17.0,0
6484,4456,62,46,2012-03-01,0.0,33.0,0
6500,1522,36,95,2012-03-01,1.0,28.0,0
6577,8557,107,20,2012-03-01,0.0,19.0,0
6580,5802,74,80,2012-03-01,2.0,42.0,0
6602,5812,74,90,2012-03-01,0.0,6.0,0
6627,4571,63,45,2012-03-01,1.0,21.0,0
6629,8565,107,28,2012-03-01,0.0,28.0,0
6635,4696,64,55,2012-03-01,3.0,144.0,0
6678,9061,113,41,2012-03-01,0.0,23.0,0
6701,5783,74,61,2012-03-01,1.0,28.0,0
6721,4463,62,53,2012-03-01,1.0,119.0,0
6742,5584,72,59,2012-03-01,0.0,77.0,0
6747,5394,70,72,2012-03-01,0.0,37.0,0
6749,11517,143,50,2012-03-01,4.0,24.0,0
6829,4695,64,54,2012-03-01,6.0,146.0,1
6835,4461,62,51,2012-03-01,0.0,108.0,0
6848,11516,143,49,2012-03-01,3.0,23.0,0
6852,4572,63,46,2012-03-01,0.0,34.0,0
6888,11822,149,34,2012-03-01,1.0,7.0,0
6907,7623,95,19,2012-03-01,0.0,2.0,0
6921,5809,74,87,2012-03-01,0.0,13.0,0
6930,4694,64,53,2012-03-01,2.0,143.0,0
6964,5778,74,56,2012-03-01,0.0,38.0,0
7000,5042,67,55,2012-03-15,9.0,120.0,1
7043,5041,67,54,2012-03-15,0.0,119.0,0
7044,7897,98,56,2012-03-15,0.0,8.0,0
7046,8304,103,78,2012-03-15,0.0,22.0,0
7047,7990,99,72,2012-03-15,0.0,17.0,0
7049,8754,109,61,2012-03-15,0.0,14.0,0
7054,5046,67,59,2012-03-15,2.0,80.0,0
7076,7991,99,73,2012-03-15,0.0,21.0,0
7095,5044,67,57,2012-03-15,10.0,104.0,1
7132,11441,142,52,2012-03-15,5.0,42.0,1
7142,5043,67,56,2012-03-15,2.0,115.0,0
7154,4929,66,57,2012-03-15,0.0,109.0,0
7174,2687,46,97,2012-03-15,1.0,26.0,0
7181,10638,132,41,2012-03-15,3.0,42.0,0
7184,5045,67,58,2012-03-15,1.0,95.0,0
7227,10635,132,38,2012-03-15,0.0,38.0,0
7243,8763,109,70,2012-03-15,1.0,24.0,0
7246,10154,126,52,2012-03-15,2.0,33.0,0
7251,10006,124,74,2012-03-15,0.0,14.0,0
7274,10157,126,55,2012-03-15,1.0,33.0,0
7291,8764,109,71,2012-03-15,4.0,24.0,0
7345,8761,109,68,2012-03-15,2.0,21.0,0
7354,9653,120,60,2012-03-15,0.0,17.0,0
7362,10156,126,54,2012-03-15,1.0,34.0,0
7382,10508,130,72,2012-03-15,0.0,9.0,0
7391,8762,109,69,2012-03-15,3.0,25.0,0
7394,10155,126,53,2012-03-15,1.0,33.0,0
7410,10634,132,37,2012-03-15,1.0,37.0,0
7415,5686,73,61,2012-03-15,1.0,43.0,0
7421,9652,120,59,2012-03-15,0.0,19.0,0
7423,11439,142,50,2012-03-15,5.0,44.0,1
7444,5684,73,59,2012-03-15,3.0,58.0,0
7447,8768,109,75,2012-03-15,0.0,16.0,0
7471,10152,126,50,2012-03-15,0.0,30.0,0
7483,1522,36,95,2012-03-15,1.0,21.0,0
7488,11686,146,34,2012-03-15,1.0,8.0,0
7509,8303,103,77,2012-03-15,3.0,21.0,0
7565,11440,142,51,2012-03-15,0.0,42.0,0
7571,8765,109,72,2012-03-15,1.0,23.0,0
7607,7339,91,60,2012-03-15,2.0,13.0,0
7666,6066,77,52,2012-03-15,0.0,34.0,0
7671,7915,98,74,2012-03-15,0.0,23.0,0
7755,11430,142,41,2012-03-15,3.0,23.0,0
7765,8808,110,37,2012-03-15,0.0,37.0,0
7787,4149,59,80,2012-03-15,0.0,7.0,0
7788,2795,47,91,2012-03-15,0.0,20.0,0
7790,10562,131,45,2012-03-15,0.0,41.0,0
7827,5588,72,63,2012-03-15,0.0,42.0,0
7836,8331,104,28,2012-03-15,0.0,35.0,0
7847,8406,105,26,2012-03-15,1.0,33.0,0
7848,8811,110,40,2012-03-15,1.0,37.0,0
7870,8381,104,78,2012-03-15,0.0,23.0,0
7882,7163,89,48,2012-03-15,0.0,18.0,0
7898,8399,105,19,2012-03-15,0.0,26.0,0
7903,6076,77,62,2012-03-15,0.0,37.0,0
7949,10054,125,37,2012-03-15,0.0,43.0,0
7958,10055,125,38,2012-03-15,0.0,44.0,0
7961,4127,59,58,2012-03-15,1.0,33.0,0
7968,4128,59,59,2012-03-15,0.0,29.0,0
7976,4979,66,107,2012-03-15,1.0,8.0,0
7994,4982,66,110,2012-03-15,1.0,6.0,0
8005,4126,59,57,2012-03-15,0.0,35.0,0
8099,6074,77,60,2012-03-15,4.0,36.0,0
8130,7165,89,50,2012-03-15,0.0,14.0,0
8143,5584,72,59,2012-03-15,0.0,80.0,0
8145,6073,77,59,2012-03-15,1.0,39.0,0
8164,6049,77,35,2012-03-15,0.0,6.0,0
8179,5676,73,51,2012-03-15,7.0,55.0,1
8191,5677,73,52,2012-03-15,1.0,56.0,0
8197,6048,77,34,2012-03-15,1.0,3.0,0
8204,10068,125,51,2012-03-15,2.0,32.0,0
8224,5675,73,50,2012-03-15,0.0,53.0,0
8259,10143,126,41,2012-03-15,2.0,44.0,0
8288,5039,67,52,2012-03-15,4.0,115.0,0
8298,5679,73,54,2012-03-15,0.0,64.0,0
8315,11186,139,41,2012-03-15,0.0,23.0,0
8332,5040,67,53,2012-03-15,6.0,117.0,1
8350,5038,67,51,2012-03-15,1.0,106.0,0
8391,10069,125,52,2012-03-15,0.0,33.0,0
8421,5590,72,65,2012-03-15,2.0,38.0,0
8437,7176,89,61,2012-03-15,0.0,13.0,0
8463,9623,120,30,2012-03-15,1.0,22.0,0
8464,3486,53,92,2012-03-15,1.0,20.0,0
8466,2801,47,97,2012-03-15,1.0,23.0,0
8493,1448,35,101,2012-03-15,0.0,18.0,0
8500,8806,110,35,2012-03-15,0.0,42.0,0
8507,4959,66,87,2012-03-15,0.0,16.0,0
8512,10137,126,35,2012-03-15,0.0,31.0,0
8548,10139,126,37,2012-03-15,4.0,42.0,0
8574,8799,110,28,2012-03-15,0.0,30.0,0
8598,8842,110,71,2012-03-15,0.0,24.0,0
8615,8412,105,32,2012-03-15,0.0,37.0,0
8618,7177,89,62,2012-03-15,0.0,12.0,0
8637,10555,131,38,2012-03-15,0.0,41.0,0
8656,10140,126,38,2012-03-15,0.0,43.0,0
8672,10554,131,37,2012-03-15,1.0,40.0,0
8726,7422,92,61,2012-03-15,2.0,11.0,0
8727,5783,74,61,2012-03-15,1.0,42.0,0
8788,5778,74,56,2012-03-15,0.0,52.0,0
8820,5394,70,72,2012-03-15,1.0,39.0,0
8883,11508,143,41,2012-03-15,0.0,21.0,0
8908,9906,123,60,2012-03-15,1.0,22.0,0
8930,10342,128,71,2012-03-15,2.0,11.0,0
8931,5872,75,54,2012-03-15,1.0,43.0,0
9029,8653,108,38,2012-03-15,4.0,34.0,0
9031,10397,129,42,2012-03-15,0.0,46.0,0
9064,8651,108,36,2012-03-15,1.0,36.0,0
9177,8657,108,42,2012-03-15,1.0,31.0,0
9198,5776,74,54,2012-03-15,1.0,46.0,0
9201,8643,108,28,2012-03-15,0.0,32.0,0
9203,5892,75,74,2012-03-15,0.0,31.0,0
9214,3261,51,95,2012-03-15,0.0,22.0,0
9216,8106,101,33,2012-03-15,2.0,30.0,0
9224,8644,108,29,2012-03-15,0.0,29.0,0
9227,5399,70,77,2012-03-15,3.0,35.0,0
9255,8642,108,27,2012-03-15,1.0,32.0,0
9270,9920,123,74,2012-03-15,1.0,17.0,0
9283,8648,108,33,2012-03-15,1.0,36.0,0
9293,5773,74,51,2012-03-15,0.0,37.0,0
9313,8227,102,78,2012-03-15,1.0,19.0,0
9316,10392,129,37,2012-03-15,0.0,43.0,0
9322,3262,51,96,2012-03-15,0.0,21.0,0
9325,5400,70,78,2012-03-15,0.0,36.0,0
9333,10390,129,35,2012-03-15,0.0,30.0,0
9334,8645,108,30,2012-03-15,1.0,30.0,0
9342,8226,102,77,2012-03-15,1.0,19.0,0
9354,5774,74,52,2012-03-15,0.0,39.0,0
9356,11266,140,41,2012-03-15,1.0,22.0,0
9400,11515,143,48,2012-03-15,1.0,37.0,0
9414,10312,128,41,2012-03-15,2.0,50.0,0
9415,8186,102,37,2012-03-15,1.0,21.0,0
9438,10296,128,25,2012-03-15,0.0,8.0,0
9452,8557,107,20,2012-03-15,2.0,33.0,0
9465,5802,74,80,2012-03-15,0.0,25.0,0
9514,11514,143,47,2012-03-15,1.0,40.0,0
9534,1292,33,98,2012-03-15,1.0,18.0,0
9535,11517,143,50,2012-03-15,7.0,40.0,1
9606,5812,74,90,2012-03-15,1.0,9.0,0
9618,10310,128,39,2012-03-15,2.0,49.0,0
9625,11516,143,49,2012-03-15,3.0,38.0,0
9636,1290,33,96,2012-03-15,0.0,17.0,0
9645,10311,128,40,2012-03-15,1.0,49.0,0
9682,5809,74,87,2012-03-15,0.0,10.0,0
9687,8565,107,28,2012-03-15,0.0,33.0,0
9688,3187,51,21,2012-03-15,0.0,3.0,0
9697,8575,107,38,2012-03-15,0.0,32.0,0
9724,5865,75,47,2012-03-15,0.0,24.0,0
9734,5271,69,55,2012-03-15,3.0,127.0,0
9769,5273,69,57,2012-03-15,0.0,112.0,0
9827,6819,85,60,2012-03-15,0.0,12.0,0
9832,5269,69,53,2012-03-15,0.0,120.0,0
9844,5270,69,54,2012-03-15,2.0,124.0,0
9878,8554,107,17,2012-03-15,0.0,24.0,0
9883,8151,101,78,2012-03-15,0.0,22.0,0
9923,1637,37,103,2012-03-15,1.0,13.0,0
9930,10322,128,51,2012-03-15,1.0,36.0,0
9936,10323,128,52,2012-03-15,0.0,35.0,0
9949,11513,143,46,2012-03-15,0.0,42.0,0
10012,9834,122,74,2012-03-15,2.0,16.0,0
10034,3147,50,96,2012-03-15,0.0,21.0,0
10050,5977,76,61,2012-03-15,0.0,44.0,0
10074,5491,71,67,2012-03-15,0.0,32.0,0
10103,5975,76,59,2012-03-15,2.0,45.0,0
10118,10473,130,37,2012-03-15,0.0,38.0,0
10199,8728,109,35,2012-03-15,0.0,40.0,0
10216,5484,71,60,2012-03-15,1.0,67.0,0
