,unique_id,x_index,y_index,time_bin,crime_count,neighbor_1_1,neighbor_2_1,neighbor_3_1,neighbor_1_2,neighbor_3_2,neighbor_1_3,neighbor_2_3,neighbor_3_3,hotspot
1722,4574,63,48,2012-03-01,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0
1723,4575,63,49,2012-03-01,1.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0
1724,4576,63,50,2012-03-01,4.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,3.0,0
1725,4577,63,51,2012-03-01,1.0,2.0,0.0,0.0,4.0,0.0,0.0,3.0,1.0,0
1726,4578,63,52,2012-03-01,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,2.0,0
1728,4580,63,54,2012-03-01,0.0,1.0,0.0,1.0,1.0,0.0,2.0,6.0,3.0,0
1733,4585,63,59,2012-03-01,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0
1759,4617,63,91,2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1794,4687,64,46,2012-03-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0
1795,4688,64,47,2012-03-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0
1798,4691,64,50,2012-03-01,0.0,1.0,4.0,1.0,0.0,3.0,0.0,0.0,1.0,0
1799,4692,64,51,2012-03-01,3.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,5.0,0
1800,4693,64,52,2012-03-01,1.0,1.0,0.0,1.0,3.0,2.0,1.0,5.0,2.0,0
1801,4694,64,53,2012-03-01,2.0,0.0,1.0,0.0,1.0,6.0,5.0,2.0,1.0,0
1802,4695,64,54,2012-03-01,6.0,1.0,0.0,0.0,2.0,3.0,2.0,1.0,1.0,1
1803,4696,64,55,2012-03-01,3.0,0.0,0.0,1.0,6.0,0.0,1.0,1.0,0.0,0
1806,4699,64,58,2012-03-01,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0
1834,4732,64,91,2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1876,4802,65,46,2012-03-01,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0
1877,4803,65,47,2012-03-01,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1881,4807,65,51,2012-03-01,1.0,0.0,3.0,1.0,0.0,5.0,0.0,4.0,3.0,0
1882,4808,65,52,2012-03-01,5.0,3.0,1.0,2.0,1.0,2.0,4.0,3.0,4.0,1
1883,4809,65,53,2012-03-01,2.0,1.0,2.0,6.0,5.0,1.0,3.0,4.0,3.0,0
1884,4810,65,54,2012-03-01,1.0,2.0,6.0,3.0,2.0,1.0,4.0,3.0,2.0,0
1885,4811,65,55,2012-03-01,1.0,6.0,3.0,0.0,1.0,0.0,3.0,2.0,1.0,0
1886,4812,65,56,2012-03-01,0.0,3.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0
1888,4814,65,58,2012-03-01,0.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,0
1889,4815,65,59,2012-03-01,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
1900,4831,65,75,2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1902,4833,65,77,2012-03-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1904,4835,65,79,2012-03-01,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0
1912,4843,65,87,2012-03-01,2.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0
1963,4921,66,49,2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0
1964,4922,66,50,2012-03-01,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,3.0,0
1965,4923,66,51,2012-03-01,4.0,0.0,1.0,5.0,0.0,3.0,0.0,3.0,4.0,0
1966,4924,66,52,2012-03-01,3.0,1.0,5.0,2.0,4.0,4.0,3.0,4.0,3.0,0
1967,4925,66,53,2012-03-01,4.0,5.0,2.0,1.0,3.0,3.0,4.0,3.0,6.0,0
1968,4926,66,54,2012-03-01,3.0,2.0,1.0,1.0,4.0,2.0,3.0,6.0,3.0,0
1969,4927,66,55,2012-03-01,2.0,1.0,1.0,0.0,3.0,1.0,6.0,3.0,8.0,0
1970,4928,66,56,2012-03-01,1.0,1.0,0.0,1.0,2.0,0.0,3.0,8.0,4.0,0
1971,4929,66,57,2012-03-01,0.0,0.0,1.0,0.0,1.0,1.0,8.0,4.0,1.0,0
1997,4959,66,87,2012-03-01,2.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0
2009,4979,66,107,2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
2011,4982,66,110,2012-03-01,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0
2044,5038,67,51,2012-03-01,3.0,0.0,4.0,3.0,0.0,4.0,1.0,0.0,0.0,0
2045,5039,67,52,2012-03-01,4.0,4.0,3.0,4.0,3.0,3.0,0.0,0.0,1.0,0
2046,5040,67,53,2012-03-01,3.0,3.0,4.0,3.0,4.0,6.0,0.0,1.0,4.0,0
2047,5041,67,54,2012-03-01,6.0,4.0,3.0,2.0,3.0,3.0,1.0,4.0,7.0,1
2048,5042,67,55,2012-03-01,3.0,3.0,2.0,1.0,6.0,8.0,4.0,7.0,4.0,0
2049,5043,67,56,2012-03-01,8.0,2.0,1.0,0.0,3.0,4.0,7.0,4.0,0.0,1
2050,5044,67,57,2012-03-01,4.0,1.0,0.0,1.0,8.0,1.0,4.0,0.0,0.0,0
2051,5045,67,58,2012-03-01,1.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0
2052,5046,67,59,2012-03-01,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
2119,5152,68,50,2012-03-01,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0
2120,5153,68,51,2012-03-01,0.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0
2122,5155,68,53,2012-03-01,1.0,4.0,3.0,6.0,0.0,4.0,0.0,0.0,2.0,0
2123,5156,68,54,2012-03-01,4.0,3.0,6.0,3.0,1.0,7.0,0.0,2.0,7.0,0
2124,5157,68,55,2012-03-01,7.0,6.0,3.0,8.0,4.0,4.0,2.0,7.0,0.0,1
2125,5158,68,56,2012-03-01,4.0,3.0,8.0,4.0,7.0,0.0,7.0,0.0,0.0,0
2126,5159,68,57,2012-03-01,0.0,8.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0
2127,5160,68,58,2012-03-01,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
2140,5175,68,73,2012-03-01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
2195,5269,69,53,2012-03-01,0.0,0.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,0
2196,5270,69,54,2012-03-01,2.0,1.0,4.0,7.0,0.0,7.0,0.0,0.0,0.0,0
2197,5271,69,55,2012-03-01,7.0,4.0,7.0,4.0,2.0,0.0,0.0,0.0,0.0,1
2199,5273,69,57,2012-03-01,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2265,5394,70,72,2012-03-01,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
2270,5399,70,77,2012-03-01,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0
2271,5400,70,78,2012-03-01,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0
2306,5484,71,60,2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
2307,5485,71,61,2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
2308,5486,71,62,2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0
2313,5491,71,67,2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0
2369,5584,72,59,2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0
2373,5588,72,63,2012-03-01,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0
2375,5590,72,65,2012-03-01,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0
2429,5675,73,50,2012-03-01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0
2430,5676,73,51,2012-03-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0
2431,5677,73,52,2012-03-01,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0
2433,5679,73,54,2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
2438,5684,73,59,2012-03-01,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0
2440,5686,73,61,2012-03-01,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0
2448,5694,73,69,2012-03-01,1.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0
2449,5695,73,70,2012-03-01,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0
2450,5696,73,71,2012-03-01,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0
2451,5697,73,72,2012-03-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0
2455,5701,73,76,2012-03-01,5.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1
2471,5719,73,94,2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2501,5773,74,51,2012-03-01,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0
2502,5774,74,52,2012-03-01,0.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0
2504,5776,74,54,2012-03-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0
2506,5778,74,56,2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2511,5783,74,61,2012-03-01,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0
2530,5802,74,80,2012-03-01,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2537,5809,74,87,2012-03-01,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0
2540,5812,74,90,2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2573,5865,75,47,2012-03-01,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0
2580,5872,75,54,2012-03-01,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
2600,5892,75,74,2012-03-01,0.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0
2645,5955,76,39,2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
2657,5967,76,51,2012-03-01,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0
2658,5968,76,52,2012-03-01,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0
2659,5969,76,53,2012-03-01,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0
2665,5975,76,59,2012-03-01,2.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,0
2667,5977,76,61,2012-03-01,1.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,2.0,0
2676,5987,76,71,2012-03-01,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
2682,5993,76,77,2012-03-01,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
2720,6048,77,34,2012-03-01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
2721,6049,77,35,2012-03-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
2738,6066,77,52,2012-03-01,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
2745,6073,77,59,2012-03-01,2.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0
2746,6074,77,60,2012-03-01,2.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0
2748,6076,77,62,2012-03-01,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2832,6172,78,61,2012-03-01,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0
2842,6182,78,71,2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2960,6340,80,40,2012-03-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
2969,6349,80,49,2012-03-01,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3152,6609,83,32,2012-03-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
3153,6610,83,33,2012-03-01,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
3158,6615,83,38,2012-03-01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
3316,6819,85,60,2012-03-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3444,6989,87,47,2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3515,7079,88,47,2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3520,7084,88,52,2012-03-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3585,7163,89,48,2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3587,7165,89,50,2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3597,7176,89,61,2012-03-01,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
3598,7177,89,62,2012-03-01,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0
3731,7339,91,60,2012-03-01,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0
3802,7422,92,61,2012-03-01,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
3885,7520,93,77,2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3968,7623,95,19,2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4197,7897,98,56,2012-03-01,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4214,7915,98,74,2012-03-01,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
4278,7990,99,72,2012-03-01,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
4279,7991,99,73,2012-03-01,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
4371,8106,101,33,2012-03-01,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4411,8151,101,78,2012-03-01,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0
4438,8186,102,37,2012-03-01,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4471,8226,102,77,2012-03-01,2.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0
4472,8227,102,78,2012-03-01,1.0,0.0,1.0,1.0,2.0,0.0,3.0,0.0,0.0,0
4486,8250,103,24,2012-03-01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
4494,8258,103,32,2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4535,8303,103,77,2012-03-01,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0
4536,8304,103,78,2012-03-01,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0
4552,8331,104,28,2012-03-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4600,8381,104,78,2012-03-01,0.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0
4608,8399,105,19,2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0
4615,8406,105,26,2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4621,8412,105,32,2012-03-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4664,8458,105,78,2012-03-01,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0
4671,8479,106,21,2012-03-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
4680,8488,106,30,2012-03-01,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0
4686,8494,106,36,2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
4728,8554,107,17,2012-03-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0
4731,8557,107,20,2012-03-01,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
4739,8565,107,28,2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4749,8575,107,38,2012-03-01,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0
4804,8642,108,27,2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4805,8643,108,28,2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4806,8644,108,29,2012-03-01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
4807,8645,108,30,2012-03-01,1.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0
4810,8648,108,33,2012-03-01,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
4813,8651,108,36,2012-03-01,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
4815,8653,108,38,2012-03-01,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4819,8657,108,42,2012-03-01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
4828,8666,108,51,2012-03-01,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
4830,8668,108,53,2012-03-01,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4863,8712,109,19,2012-03-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0
4872,8721,109,28,2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4879,8728,109,35,2012-03-01,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
4900,8749,109,56,2012-03-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4905,8754,109,61,2012-03-01,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0
4912,8761,109,68,2012-03-01,2.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0
4913,8762,109,69,2012-03-01,3.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0
4914,8763,109,70,2012-03-01,1.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0
4915,8764,109,71,2012-03-01,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0
4916,8765,109,72,2012-03-01,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0
4919,8768,109,75,2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
4938,8799,110,28,2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0
4945,8806,110,35,2012-03-01,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4947,8808,110,37,2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4950,8811,110,40,2012-03-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4981,8842,110,71,2012-03-01,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0
5006,8881,111,28,2012-03-01,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0
5019,8894,111,41,2012-03-01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0
5067,8956,112,20,2012-03-01,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
5079,8968,112,32,2012-03-01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
5081,8970,112,34,2012-03-01,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0
5084,8973,112,37,2012-03-01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
5085,8974,112,38,2012-03-01,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0
5089,8978,112,42,2012-03-01,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0
5098,8987,112,51,2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0
5154,9061,113,41,2012-03-01,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5164,9071,113,51,2012-03-01,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5186,9093,113,73,2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5260,9211,115,26,2012-03-01,4.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0
5261,9212,115,27,2012-03-01,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0
5283,9236,115,51,2012-03-01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
5290,9243,115,58,2012-03-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
5298,9257,115,73,2012-03-01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
5300,9259,115,75,2012-03-01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
5336,9317,116,49,2012-03-01,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
